reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.686,0.7158000000000001,0.7330666666666666
2,0.6916,0.7203999999999999,0.7402666666666666
4,0.7055999999999999,0.7378000000000001,0.7586666666666667
8,0.7352000000000001,0.7626,0.7855999999999999
16,0.7856000000000001,0.8096000000000001,0.8245333333333335
20,0.792,0.82,0.8310666666666668
32,0.8292,0.8504,0.8606666666666667
40,0.8556000000000001,0.8710000000000001,0.8805333333333334
64,0.898,0.9074,0.9150666666666668
80,0.9164,0.9242,0.9337333333333332
100,0.9364,0.943,0.9510666666666668
128,0.9564,0.9602,0.9678666666666668
140,0.9584,0.965,0.9708000000000002
160,0.9748,0.976,0.9793333333333336
180,0.9816,0.9826,0.9849333333333334
200,0.9876,0.9848,0.9878666666666668
220,0.9912,0.988,0.9908
240,0.9928,0.991,0.9930666666666668
256,0.9948,0.9928,0.9937333333333334
280,0.9952,0.9948,0.9958666666666668
300,0.9956,0.9964,0.9968
320,0.996,0.9972,0.9970666666666668
340,0.9964,0.9976000000000002,0.9982666666666667
360,0.9984000000000001,0.9992000000000001,0.9989333333333333
