dimension,precision_at_10,explained_variance
4,0.7378000000000001,0.15806269120214134
8,0.7637999999999999,0.25137629664939387
12,0.7918000000000001,0.32506837382511355
16,0.8104000000000001,0.38544194968937984
20,0.8208000000000001,0.43780242218346144
24,0.8322,0.4810896139436523
28,0.8420000000000001,0.5191029275389312
32,0.8526000000000001,0.5522974974350319
36,0.8630000000000001,0.5821740729982675
40,0.8698,0.6082944141533912
44,0.8754000000000001,0.6321537834109637
48,0.884,0.65465862007755
52,0.8910000000000001,0.6735485671565783
56,0.895,0.6928383415268871
60,0.9014000000000001,0.7104246744549111
64,0.9060000000000001,0.7260394075088709
68,0.9122000000000001,0.7410701533970334
72,0.9142000000000001,0.7546856448989153
76,0.9184000000000001,0.767805824090481
80,0.9232,0.7803708808267402
84,0.9296000000000001,0.7917869443280627
88,0.9326000000000001,0.8023104130709273
92,0.9372,0.8125301699212051
96,0.9404000000000001,0.8222548444135926
100,0.9426,0.8310021163577609
104,0.9456000000000001,0.8392224139381302
108,0.9498000000000001,0.8471866377345808
112,0.9516000000000001,0.8547522119174069
116,0.9524000000000001,0.8618593119235388
120,0.9568000000000002,0.8685983791126488
124,0.9586000000000001,0.8747538695098933
128,0.9612,0.8810541287821132
132,0.9626000000000001,0.8867208256647693
136,0.9626000000000001,0.8923013427668997
140,0.9662000000000001,0.8974341651637433
144,0.967,0.9024928730661641
148,0.9678,0.9071959878778268
152,0.97,0.9118049535084054
156,0.9742000000000001,0.9161229455388744
160,0.9738000000000001,0.9203693045828437
164,0.9762000000000001,0.9242675834644807
168,0.978,0.9279346262534995
172,0.9798000000000001,0.9316319495900747
176,0.9806,0.9349388245727283
180,0.9832000000000001,0.9382222113383845
184,0.9836,0.9414642460390915
188,0.9846,0.944428108606485
192,0.9844,0.9472852024467032
196,0.9856000000000001,0.9499900094847733
200,0.9864,0.9525879988616048
204,0.988,0.955076788198296
208,0.9877999999999999,0.9574377333296209
212,0.9887999999999999,0.9597216853555491
216,0.9876,0.9619342997020026
220,0.9902000000000001,0.9639880263937033
224,0.9892000000000001,0.9659832107849313
228,0.9912000000000001,0.9678411396407182
232,0.99,0.969555644716328
236,0.9898,0.971258035863379
240,0.991,0.9728949997674784
244,0.9917999999999999,0.9744589789768178
248,0.992,0.9759018931992
252,0.9922000000000001,0.9773180000474994
256,0.9932000000000001,0.978654813766993
260,0.9927999999999999,0.9798923261409735
264,0.9926,0.9811096431726237
268,0.9952000000000001,0.9822345404965838
272,0.9937999999999999,0.9833538545915105
276,0.994,0.984400977606251
280,0.9945999999999999,0.985389425700612
284,0.9957999999999999,0.9863355119788494
288,0.995,0.9872195056107405
292,0.9955999999999999,0.9880699958771471
296,0.9954,0.9888533007907914
300,0.995,0.9896113679791021
304,0.9955999999999999,0.990331714833081
308,0.9962,0.9910021686446178
312,0.9954,0.9916543415384023
316,0.9963999999999998,0.9922812609002906
320,0.997,0.9928529352487243
