dimension_range,prev_dimension,curr_dimension,prev_precision,curr_precision,abs_difference,rate_of_change
8-12,8,12,0.7637999999999999,0.7918000000000001,0.028000000000000136,0.007000000000000034
4-8,4,8,0.7378000000000001,0.7637999999999999,0.0259999999999998,0.00649999999999995
12-16,12,16,0.7918000000000001,0.8104000000000001,0.01860000000000006,0.004650000000000015
20-24,20,24,0.8208000000000001,0.8322,0.011399999999999966,0.0028499999999999914
28-32,28,32,0.8420000000000001,0.8526000000000001,0.010600000000000054,0.0026500000000000135
16-20,16,20,0.8104000000000001,0.8208000000000001,0.010399999999999965,0.002599999999999991
32-36,32,36,0.8526000000000001,0.8630000000000001,0.010399999999999965,0.002599999999999991
24-28,24,28,0.8322,0.8420000000000001,0.009800000000000031,0.0024500000000000077
44-48,44,48,0.8754000000000001,0.884,0.008599999999999941,0.0021499999999999853
48-52,48,52,0.884,0.8910000000000001,0.007000000000000117,0.0017500000000000293
36-40,36,40,0.8630000000000001,0.8698,0.006799999999999917,0.0016999999999999793
56-60,56,60,0.895,0.9014000000000001,0.006400000000000072,0.001600000000000018
80-84,80,84,0.9232,0.9296000000000001,0.006400000000000072,0.001600000000000018
64-68,64,68,0.9060000000000001,0.9122000000000001,0.006199999999999983,0.0015499999999999958
40-44,40,44,0.8698,0.8754000000000001,0.005600000000000049,0.0014000000000000123
76-80,76,80,0.9184000000000001,0.9232,0.0047999999999999154,0.0011999999999999789
60-64,60,64,0.9014000000000001,0.9060000000000001,0.0046000000000000485,0.0011500000000000121
88-92,88,92,0.9326000000000001,0.9372,0.0045999999999999375,0.0011499999999999844
116-120,116,120,0.9524000000000001,0.9568000000000002,0.0044000000000000705,0.0011000000000000176
152-156,152,156,0.97,0.9742000000000001,0.0042000000000000925,0.0010500000000000231
72-76,72,76,0.9142000000000001,0.9184000000000001,0.0041999999999999815,0.0010499999999999954
104-108,104,108,0.9456000000000001,0.9498000000000001,0.0041999999999999815,0.0010499999999999954
52-56,52,56,0.8910000000000001,0.895,0.0039999999999998925,0.0009999999999999731
136-140,136,140,0.9626000000000001,0.9662000000000001,0.0035999999999999366,0.0008999999999999841
92-96,92,96,0.9372,0.9404000000000001,0.0032000000000000917,0.0008000000000000229
100-104,100,104,0.9426,0.9456000000000001,0.0030000000000001137,0.0007500000000000284
84-88,84,88,0.9296000000000001,0.9326000000000001,0.0030000000000000027,0.0007500000000000007
176-180,176,180,0.9806,0.9832000000000001,0.0026000000000000467,0.0006500000000000117
216-220,216,220,0.9876,0.9902000000000001,0.0026000000000000467,0.0006500000000000117
264-268,264,268,0.9926,0.9952000000000001,0.0026000000000000467,0.0006500000000000117
124-128,124,128,0.9586000000000001,0.9612,0.0025999999999999357,0.0006499999999999839
160-164,160,164,0.9738000000000001,0.9762000000000001,0.0023999999999999577,0.0005999999999999894
148-152,148,152,0.9678,0.97,0.0021999999999999797,0.0005499999999999949
96-100,96,100,0.9404000000000001,0.9426,0.0021999999999998687,0.0005499999999999672
68-72,68,72,0.9122000000000001,0.9142000000000001,0.0020000000000000018,0.0005000000000000004
224-228,224,228,0.9892000000000001,0.9912000000000001,0.0020000000000000018,0.0005000000000000004
168-172,168,172,0.978,0.9798000000000001,0.0018000000000001348,0.0004500000000000337
108-112,108,112,0.9498000000000001,0.9516000000000001,0.0018000000000000238,0.00045000000000000595
120-124,120,124,0.9568000000000002,0.9586000000000001,0.0017999999999999128,0.0004499999999999782
164-168,164,168,0.9762000000000001,0.978,0.0017999999999999128,0.0004499999999999782
200-204,200,204,0.9864,0.988,0.0015999999999999348,0.0003999999999999837
128-132,128,132,0.9612,0.9626000000000001,0.0014000000000000679,0.00035000000000001696
192-196,192,196,0.9844,0.9856000000000001,0.0012000000000000899,0.00030000000000002247
236-240,236,240,0.9898,0.991,0.0011999999999999789,0.0002999999999999947
280-284,280,284,0.9945999999999999,0.9957999999999999,0.0011999999999999789,0.0002999999999999947
184-188,184,188,0.9836,0.9846,0.0010000000000000009,0.0002500000000000002
208-212,208,212,0.9877999999999999,0.9887999999999999,0.0010000000000000009,0.0002500000000000002
252-256,252,256,0.9922000000000001,0.9932000000000001,0.0010000000000000009,0.0002500000000000002
312-316,312,316,0.9954,0.9963999999999998,0.0009999999999998899,0.00024999999999997247
112-116,112,116,0.9516000000000001,0.9524000000000001,0.0008000000000000229,0.00020000000000000573
144-148,144,148,0.967,0.9678,0.0008000000000000229,0.00020000000000000573
140-144,140,144,0.9662000000000001,0.967,0.0007999999999999119,0.00019999999999997797
172-176,172,176,0.9798000000000001,0.9806,0.0007999999999999119,0.00019999999999997797
196-200,196,200,0.9856000000000001,0.9864,0.0007999999999999119,0.00019999999999997797
240-244,240,244,0.991,0.9917999999999999,0.0007999999999999119,0.00019999999999997797
316-320,316,320,0.9963999999999998,0.997,0.000600000000000156,0.000150000000000039
304-308,304,308,0.9955999999999999,0.9962,0.0006000000000000449,0.00015000000000001124
276-280,276,280,0.994,0.9945999999999999,0.0005999999999999339,0.00014999999999998348
288-292,288,292,0.995,0.9955999999999999,0.0005999999999999339,0.00014999999999998348
300-304,300,304,0.995,0.9955999999999999,0.0005999999999999339,0.00014999999999998348
180-184,180,184,0.9832000000000001,0.9836,0.00039999999999995595,9.999999999998899e-05
244-248,244,248,0.9917999999999999,0.992,0.000200000000000089,5.000000000002225e-05
248-252,248,252,0.992,0.9922000000000001,0.000200000000000089,5.000000000002225e-05
272-276,272,276,0.9937999999999999,0.994,0.000200000000000089,5.000000000002225e-05
132-136,132,136,0.9626000000000001,0.9626000000000001,0.0,0.0
260-264,260,264,0.9927999999999999,0.9926,-0.00019999999999986695,-4.999999999996674e-05
188-192,188,192,0.9846,0.9844,-0.00019999999999997797,-4.999999999999449e-05
232-236,232,236,0.99,0.9898,-0.00019999999999997797,-4.999999999999449e-05
292-296,292,296,0.9955999999999999,0.9954,-0.00019999999999997797,-4.999999999999449e-05
204-208,204,208,0.988,0.9877999999999999,-0.000200000000000089,-5.000000000002225e-05
156-160,156,160,0.9742000000000001,0.9738000000000001,-0.00039999999999995595,-9.999999999998899e-05
296-300,296,300,0.9954,0.995,-0.00039999999999995595,-9.999999999998899e-05
256-260,256,260,0.9932000000000001,0.9927999999999999,-0.000400000000000178,-0.0001000000000000445
284-288,284,288,0.9957999999999999,0.995,-0.0007999999999999119,-0.00019999999999997797
308-312,308,312,0.9962,0.9954,-0.0008000000000000229,-0.00020000000000000573
