dimension,precision_at_5,precision_at_10,precision_at_15
16,0.78046875,0.8078125,0.8212239583333334
32,0.833203125,0.8476562500000002,0.8601562500000002
48,0.8597656250000001,0.8771484375000003,0.8869791666666669
64,0.8890625000000001,0.9007812500000002,0.9127604166666667
80,0.9117187500000001,0.9216796875000002,0.9283854166666667
96,0.9343750000000001,0.9353515625000002,0.9459635416666667
112,0.94921875,0.9457031250000001,0.9559895833333334
128,0.9613281250000001,0.9593750000000001,0.9658854166666668
144,0.96796875,0.9677734375000001,0.9695312500000002
160,0.9730468750000001,0.9732421875000001,0.9753906250000001
176,0.9750000000000001,0.9794921875,0.9805989583333334
192,0.979296875,0.9833984375,0.9847656250000001
208,0.983203125,0.9873046875,0.9868489583333333
224,0.98984375,0.989453125,0.9919270833333333
240,0.9890625000000001,0.990234375,0.9927083333333333
256,0.991015625,0.991796875,0.9942708333333334
272,0.99296875,0.994140625,0.994921875
288,0.9937499999999999,0.9951171875,0.99609375
304,0.994140625,0.99609375,0.996484375
320,0.996484375,0.998046875,0.997265625
336,0.997265625,0.998046875,0.9981770833333334
352,0.99765625,0.9976562499999999,0.9989583333333334
368,0.998828125,0.998046875,0.9985677083333334
384,0.9984375,0.9986328125,0.99921875
400,0.99921875,0.998828125,0.99921875
416,0.999609375,0.9994140625,0.9993489583333334
432,1.0,0.999609375,0.9994791666666667
448,1.0,0.9998046875,0.9998697916666667
464,1.0,1.0,0.9998697916666667
480,1.0,1.0,1.0
496,1.0,1.0,1.0
512,1.0,1.0,1.0
