image_embedding,reference_embedding
"[-0.14244613570405582, 0.9169183463215883, 0.3776518623284092, -0.03616972745813875]","[0.8751857902084011, -0.3963023898890012, 0.662238299152702, -0.10710454602019931]"
"[-1.3498976061758472, -2.0926872395063523, 0.9817493256623736, 1.620654160593358]","[1.6114713068851179, -1.066869336208736, -0.056018348756196594, -1.0664370926319868]"
"[1.4349321902486494, -0.1589703965072642, -0.34088779332807095, -2.3065866799055352]","[-1.1932067954633374, 0.24813333631511303, -0.4539236774029178, 0.16287729988159608]"
"[-1.967030781521338, -0.6358555862233348, 1.4380701136699081, 1.5093442248055249]","[-0.7409124888478654, -0.5952914861134184, -1.6576323147661896, -1.1504899361680276]"
"[-0.17085030814021537, 2.1189387857379507, 2.7524797273160493, -1.6169515235029115]","[1.9088233884660077, -1.073579480426609, 0.17509142093226557, 0.6473832189790438]"
"[-0.19343394337413827, 2.043020118351305, 2.6451155905693207, 0.47485831330749984]","[1.6698866775418055, -0.8178756131484984, -0.19030719039509505, 0.7206005553470302]"
"[0.46508142196562524, 1.6685061967903898, 1.1504041222882182, 0.47057015782765066]","[-1.4146645031342147, -0.5094947966645881, -0.37949600323936106, 0.7289029195678514]"
"[1.053316704821229, 2.8394076076950188, 0.3393904972422157, 2.5990727554293818]","[0.26846784835086296, 0.22485648077703135, -0.7233347188980657, 0.5380630596715936]"
"[-2.515656620475439, 2.552445159346782, -0.1939624978431861, 1.6368319256730939]","[-0.12311287608267162, -0.8186482026084843, 0.09427046120833027, -1.2585719874680017]"
"[-0.5306638806412847, 1.0971687056583876, -0.018989028677522175, 2.766444406324421]","[1.329569888624134, 0.36765365583693, -0.20143078041208878, -0.8177728227778595]"
"[0.1776438873497124, 0.8411864973162141, -0.0745187243064552, 0.11053725411517315]","[0.7108869798794016, 0.7288623208559517, 0.5877563738483027, -0.10609108248392583]"
"[-0.20126635809152285, 0.630373089301155, 1.0177177153036694, 0.8896479253277431]","[0.8778769937823028, -0.3298902264806466, 0.48468643547086115, -1.5624602382779635]"
"[2.6212914448120945, -1.0156045579771475, -1.1158270571973041, 0.9213742328875272]","[1.3854431623643826, 1.6939742722513016, 0.879772694083549, 0.3183711972556764]"
"[-0.6604190247180975, -1.6911741975194774, 0.7643058158187087, 1.3807278433156729]","[-0.4374135724168116, -0.253824754620232, -0.4636507516890087, -0.8036771538660507]"
"[-3.0685389905925997, 1.2896420057805507, -2.098588856533068, 1.5162016836991987]","[1.3799136096365638, -0.9582009203050322, 0.2809845474126385, -0.762499056043857]"
