reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.7263999999999999,0.7562000000000001,0.7770666666666666
2,0.734,0.7632000000000001,0.7836
4,0.7536,0.7791999999999999,0.7994666666666667
8,0.7844000000000001,0.8052,0.8253333333333335
16,0.8324000000000001,0.8422000000000001,0.8597333333333335
25,0.858,0.8698,0.8836000000000002
32,0.8776,0.8866000000000002,0.9004000000000001
40,0.8924000000000001,0.9038,0.9162666666666668
64,0.9264,0.9408,0.9474666666666668
80,0.9428,0.9544,0.9578666666666666
100,0.9612,0.9662,0.9718666666666668
128,0.9796,0.9794,0.9817333333333332
140,0.9824,0.983,0.9854666666666668
160,0.9852,0.9886,0.9909333333333334
180,0.99,0.9906,0.9926666666666666
200,0.9932,0.993,0.9952
220,0.9968,0.9952,0.9961333333333332
240,0.9964,0.9966,0.9970666666666668
256,0.9972,0.9968,0.9977333333333332
280,0.9992,0.9984,0.9985333333333334
300,0.9992,0.999,0.9988
320,0.9988,0.9988,0.9992
340,0.9996,0.999,0.9993333333333334
360,0.9996,0.9994000000000001,0.9996
