dimension,precision_at_5,precision_at_10,precision_at_15
1,0.7263999999999999,0.7562000000000001,0.7769333333333333
2,0.734,0.7632000000000001,0.7836
4,0.7536,0.7791999999999999,0.7993333333333333
6,0.7667999999999999,0.7898,0.8125333333333334
8,0.7844000000000001,0.8052,0.8252
10,0.7984000000000001,0.817,0.8349333333333334
12,0.808,0.8276,0.8450666666666669
14,0.8196,0.8356,0.8522666666666666
16,0.8328000000000001,0.8420000000000001,0.8594666666666667
18,0.8376,0.8506,0.8650666666666669
20,0.848,0.8584,0.8681333333333334
22,0.8552000000000001,0.8618000000000001,0.8745333333333335
24,0.8568,0.8688,0.8810666666666669
26,0.8616,0.8720000000000001,0.8856000000000002
28,0.866,0.8768,0.8898666666666668
30,0.8692000000000001,0.8832000000000001,0.8938666666666668
32,0.8792000000000001,0.8864000000000001,0.9
34,0.8848,0.8912,0.9052000000000001
36,0.8852000000000001,0.8962,0.9105333333333334
38,0.8888,0.9024000000000001,0.9142666666666668
40,0.8916000000000002,0.9027999999999999,0.916
42,0.898,0.9070000000000001,0.9200000000000002
44,0.9016000000000001,0.9126000000000002,0.9244000000000001
46,0.904,0.9166000000000001,0.9262666666666668
48,0.9048000000000002,0.9174000000000001,0.9304000000000001
50,0.9088,0.9222000000000001,0.9322666666666669
52,0.9104000000000001,0.9238000000000002,0.9358666666666667
54,0.912,0.9268000000000002,0.9394666666666667
56,0.9144000000000001,0.9290000000000002,0.9409333333333334
58,0.9188,0.9348000000000001,0.9433333333333335
60,0.9236,0.9358000000000002,0.9449333333333334
62,0.9291999999999999,0.9392,0.9464000000000001
64,0.9295999999999999,0.9416,0.9481333333333333
66,0.9296000000000001,0.9418000000000001,0.9516
68,0.9324000000000001,0.9440000000000001,0.9517333333333333
70,0.9356,0.9452,0.9532
72,0.938,0.9484000000000001,0.9553333333333335
74,0.9408,0.9488000000000002,0.9557333333333334
76,0.9448000000000001,0.9482,0.9586666666666668
78,0.9464,0.9508000000000002,0.96
80,0.9464000000000001,0.9526000000000001,0.9594666666666668
82,0.9476,0.9574000000000001,0.9617333333333333
84,0.9464000000000001,0.9556000000000001,0.9618666666666668
86,0.9508,0.9578000000000001,0.9648000000000001
88,0.9516,0.9578000000000001,0.9649333333333334
90,0.954,0.9610000000000001,0.9661333333333334
92,0.9536,0.9604000000000001,0.9666666666666668
94,0.958,0.9628000000000001,0.9678666666666668
96,0.9556,0.9650000000000001,0.9686666666666668
98,0.9584000000000001,0.9654,0.9692000000000001
100,0.9632000000000001,0.966,0.9712000000000001
102,0.962,0.9668000000000002,0.9708000000000001
104,0.9668000000000001,0.968,0.9741333333333334
106,0.9656,0.9702000000000001,0.9752000000000001
108,0.9688000000000001,0.9708000000000002,0.9758666666666668
110,0.9692,0.9704,0.9761333333333334
112,0.9728,0.9722000000000001,0.9770666666666667
114,0.9716,0.9732000000000001,0.9784
116,0.9723999999999999,0.9746000000000001,0.9792000000000001
118,0.9744,0.9748000000000001,0.9796000000000001
120,0.9736,0.9754,0.9798666666666667
122,0.9752000000000001,0.9766,0.9793333333333335
124,0.9768,0.9756000000000001,0.9812000000000001
126,0.976,0.9782000000000001,0.9810666666666669
128,0.978,0.9782000000000001,0.9821333333333334
130,0.9788000000000001,0.9788000000000001,0.9830666666666666
132,0.9796,0.9816,0.9826666666666667
134,0.9808,0.9802000000000001,0.9828000000000001
136,0.98,0.9806,0.9838666666666667
138,0.9816,0.9806,0.9840000000000001
140,0.9808000000000001,0.9828000000000001,0.9844
142,0.9824,0.984,0.9852000000000001
144,0.9815999999999999,0.9832000000000001,0.986
146,0.9796,0.9836000000000001,0.986
148,0.9828000000000001,0.9848000000000001,0.9867999999999999
150,0.9828000000000001,0.984,0.9876000000000001
152,0.9848000000000001,0.9862000000000001,0.988
154,0.9852000000000001,0.9864,0.9889333333333333
156,0.9864,0.9877999999999999,0.9893333333333335
158,0.984,0.9864,0.9898666666666668
160,0.9868000000000001,0.9877999999999999,0.9898666666666668
162,0.9864,0.9882000000000001,0.9901333333333334
164,0.9864,0.9880000000000001,0.9905333333333334
166,0.9864,0.9878000000000001,0.9906666666666667
168,0.9868000000000001,0.9882000000000001,0.9914666666666667
170,0.988,0.9894,0.9918666666666668
172,0.9896,0.9882000000000001,0.9925333333333333
174,0.9907999999999999,0.9896,0.9917333333333334
176,0.988,0.9898,0.9922666666666666
178,0.9907999999999999,0.9894,0.9924
180,0.9912000000000001,0.9914,0.9922666666666666
182,0.9927999999999999,0.9904000000000001,0.9936000000000001
184,0.9912000000000001,0.9912000000000001,0.9934666666666667
186,0.9915999999999999,0.9924000000000001,0.9932000000000001
188,0.9915999999999999,0.9912000000000001,0.9930666666666667
190,0.9912,0.9924000000000001,0.9941333333333333
192,0.9924000000000001,0.9916,0.9934666666666667
194,0.9927999999999999,0.993,0.9945333333333334
196,0.992,0.9934,0.994
198,0.994,0.9937999999999999,0.9942666666666666
200,0.9932000000000001,0.994,0.9937333333333334
202,0.9932000000000001,0.994,0.9952000000000001
204,0.9948,0.9944000000000001,0.9945333333333333
206,0.9944000000000001,0.9946,0.9949333333333334
208,0.9952000000000001,0.994,0.9953333333333334
210,0.9967999999999999,0.9953999999999998,0.9952000000000001
212,0.996,0.9957999999999999,0.9954666666666667
214,0.996,0.9955999999999999,0.9955999999999999
216,0.9967999999999999,0.995,0.9950666666666667
218,0.9964,0.9966,0.9958666666666667
220,0.9964,0.9962,0.996
222,0.9972,0.9956,0.9958666666666667
224,0.9967999999999999,0.9965999999999999,0.9958666666666667
226,0.9964,0.9957999999999999,0.9966666666666666
228,0.9972000000000001,0.9962,0.9964
230,0.9972,0.9964,0.9967999999999999
232,0.9972000000000001,0.9968,0.9970666666666667
234,0.9967999999999999,0.9962000000000001,0.9973333333333333
236,0.9967999999999999,0.9964000000000001,0.9969333333333332
238,0.9968,0.9962000000000001,0.9973333333333333
240,0.9972000000000001,0.9967999999999999,0.9973333333333333
242,0.9972000000000001,0.9964,0.9975999999999999
244,0.9967999999999999,0.9966,0.9973333333333333
246,0.998,0.9972000000000001,0.9967999999999999
248,0.9972000000000001,0.9965999999999999,0.9973333333333333
250,0.9972000000000001,0.9968,0.9974666666666667
252,0.998,0.9967999999999999,0.9977333333333334
254,0.996,0.9968,0.998
256,0.9972000000000001,0.997,0.9973333333333333
258,0.9984,0.9967999999999999,0.9978666666666667
260,0.998,0.9974000000000001,0.9974666666666667
262,0.998,0.9967999999999999,0.9982666666666666
264,0.9984000000000001,0.997,0.9980000000000001
266,0.998,0.9974000000000001,0.9985333333333334
268,0.9984,0.9975999999999999,0.9982666666666666
270,0.9984,0.9972000000000001,0.9982666666666667
272,0.9992000000000001,0.9972000000000001,0.9978666666666668
274,0.9992000000000001,0.9982000000000001,0.9985333333333334
276,0.998,0.9975999999999999,0.9980000000000001
278,0.9992000000000001,0.9975999999999999,0.9981333333333334
280,0.9984000000000001,0.998,0.9981333333333334
282,0.9987999999999999,0.9982000000000001,0.9988
284,0.9992000000000001,0.998,0.9984000000000001
286,0.9992000000000001,0.9986,0.9985333333333334
288,0.9987999999999999,0.9984000000000001,0.9988
290,0.9992000000000001,0.9984000000000001,0.9984000000000001
292,0.9987999999999999,0.9977999999999999,0.9986666666666667
294,0.9987999999999999,0.998,0.9989333333333333
296,0.9992000000000001,0.9984000000000001,0.9988
298,0.9992000000000001,0.9987999999999999,0.9988
300,0.9992000000000001,0.9987999999999999,0.9986666666666667
302,0.9992000000000001,0.9984000000000001,0.9988
304,0.9987999999999999,0.9987999999999999,0.9990666666666668
306,0.9992000000000001,0.999,0.9988
308,0.9984,0.9988,0.9989333333333333
310,0.9987999999999999,0.999,0.9990666666666668
312,0.9987999999999999,0.9984000000000001,0.9989333333333333
314,0.9984,0.9984,0.9990666666666668
316,0.9984,0.9988,0.9992000000000001
318,0.9987999999999999,0.9988,0.9992000000000001
320,0.9987999999999999,0.9987999999999999,0.9993333333333334
