dimension,precision_at_10,explained_variance
2,0.7632000000000001,0.13054328054197126
4,0.7791999999999999,0.21911424656273343
6,0.7896,0.2880931812350718
8,0.8052,0.34299719389118455
10,0.8168000000000001,0.39026075288408413
12,0.8276,0.43027497113277774
14,0.836,0.4645739960250423
16,0.8418000000000001,0.49419281471547494
18,0.8504,0.5213353167021408
20,0.8590000000000001,0.5448135332041818
22,0.8614,0.5662086705780959
24,0.8686000000000001,0.5860130945994819
26,0.8718000000000001,0.6040548575020441
28,0.8764000000000001,0.6209413934947229
30,0.8814000000000001,0.6367639371770837
32,0.8870000000000001,0.6519968601100995
34,0.8908000000000001,0.6664115602207717
36,0.8978000000000002,0.6801395913879354
38,0.9014000000000001,0.6928060822198504
40,0.9036000000000002,0.7045028913413416
42,0.9060000000000001,0.7155251836624474
44,0.9126000000000002,0.7262772795126811
46,0.9164000000000001,0.7363715571976372
48,0.9178000000000002,0.7461559127192834
50,0.9242,0.7542810127104032
52,0.9238000000000002,0.7631663686892374
54,0.927,0.7712058235047936
56,0.9292,0.7794168857937763
58,0.9352,0.7870646507930336
60,0.9362,0.7946648006553855
62,0.9384000000000001,0.8013942998802982
64,0.9386,0.8084338026169358
66,0.9430000000000001,0.8147549446211093
68,0.9442,0.8211201396542208
70,0.9476000000000001,0.8269233503827029
72,0.9496000000000001,0.8326074140961957
74,0.9484000000000001,0.8377390124363305
76,0.9506000000000001,0.8432245403217605
78,0.9502000000000002,0.8482104990144991
80,0.9544000000000001,0.853227385338506
82,0.9566,0.8579556934815843
84,0.9574000000000001,0.8623335585283565
86,0.9604000000000001,0.8668116143607121
88,0.9616000000000001,0.8710109822118755
90,0.9618000000000002,0.8751168345621398
92,0.9608000000000001,0.8788980320575331
94,0.9624000000000001,0.8827631188444558
96,0.9634000000000001,0.8864991113922356
98,0.9648000000000002,0.8898929298562631
100,0.9660000000000001,0.893336198053244
102,0.969,0.8964635760540101
104,0.9668000000000001,0.8997235692552998
106,0.9692000000000001,0.902694049963629
108,0.9708000000000001,0.9055969505463226
110,0.9726000000000001,0.9083909495111131
112,0.9738000000000001,0.911260632525265
114,0.973,0.9138710134953909
116,0.9734,0.9163916682991617
118,0.9748000000000001,0.918953367579199
120,0.9748000000000001,0.9213304116209913
122,0.9756,0.9237208038882903
124,0.9752000000000001,0.9258020484842612
126,0.977,0.9279367193198708
128,0.9792000000000001,0.9300682931895947
130,0.9805999999999999,0.9320245280160347
132,0.98,0.9339834529393914
134,0.9808,0.9358032609457415
136,0.9808000000000001,0.9376712700627856
138,0.9822000000000001,0.939434686582515
140,0.9832000000000001,0.9412434970398049
142,0.9826,0.9428574739630604
144,0.9832000000000001,0.9445417301736098
146,0.9834,0.9461067743589886
148,0.9853999999999999,0.9476657891365114
150,0.9863999999999999,0.9491333381430648
152,0.9846,0.9506496910374812
154,0.9867999999999999,0.9520099322441249
156,0.9866000000000001,0.9534505119239056
158,0.9876,0.9547221708404113
160,0.9874,0.9560739230562556
162,0.9876,0.9572699679839807
164,0.9876,0.958438647077893
166,0.9876000000000001,0.9596370375865506
168,0.9884000000000001,0.9608044886084207
170,0.9892000000000001,0.9618432534361636
172,0.9904000000000001,0.9629447244017615
174,0.9902000000000001,0.9640114185815687
176,0.9908,0.9650459892296108
178,0.9902000000000001,0.9660016761613756
180,0.99,0.9670296618921197
182,0.9907999999999999,0.9679355260351835
184,0.9927999999999999,0.9688625530118441
186,0.9914000000000001,0.969743523375421
188,0.993,0.9705872535089403
190,0.9922000000000001,0.9714300374318184
192,0.992,0.9722234443116841
194,0.993,0.9730447469586136
196,0.9936,0.9737666514790471
198,0.9933999999999998,0.9745345104358849
200,0.994,0.9752546240320453
202,0.9927999999999999,0.9759770449427241
204,0.9945999999999999,0.9766600788489977
206,0.9944000000000001,0.9773248255959572
208,0.9946,0.9779988005172319
210,0.9954,0.9786139325548613
212,0.9957999999999999,0.9792077722914568
214,0.9962000000000001,0.9798142142549673
216,0.9952000000000001,0.9804142221989922
218,0.9952000000000001,0.980976979566993
220,0.996,0.9815482090449814
222,0.9952,0.9820700198473542
224,0.9957999999999999,0.9825911163413242
226,0.9955999999999999,0.9830820983807677
228,0.9964,0.9836061685122208
230,0.9962000000000001,0.984061444685099
232,0.9965999999999999,0.9845556004155883
234,0.9966,0.9849944925706584
236,0.997,0.9854402028810137
238,0.9962000000000001,0.9858697841325371
240,0.9967999999999999,0.9863127540733156
242,0.9966,0.9867133746275193
244,0.9965999999999999,0.9871171527264587
246,0.9968,0.9874713501309204
248,0.9967999999999999,0.9878689311955632
250,0.9968,0.9882152776698944
252,0.997,0.9885937848651264
254,0.997,0.9889386210066264
256,0.9968,0.9892709096549481
258,0.9974000000000001,0.9895924046898311
260,0.9972000000000001,0.9899369562645155
262,0.997,0.990242997176066
264,0.9972000000000001,0.990546460784404
266,0.9974,0.9908482422542768
268,0.9968,0.9911478688514073
270,0.9972000000000001,0.9914288825955232
272,0.9974,0.9917032268512771
274,0.9974000000000001,0.9919816951924079
276,0.9977999999999999,0.9922317467528807
278,0.9982000000000001,0.9924943206379289
280,0.9977999999999999,0.9927414616592402
282,0.9986,0.9929775215182327
284,0.9978,0.9932171234778395
286,0.999,0.9934496979088203
288,0.9986,0.9936722014135531
290,0.9986,0.9938813701760916
292,0.9984000000000001,0.9940824367430259
294,0.9987999999999999,0.9942892744877292
296,0.9984000000000001,0.9944980516654796
298,0.998,0.9946944279038433
300,0.9987999999999999,0.9948866666987506
302,0.9986,0.9950696607028363
304,0.9987999999999999,0.995249747715905
306,0.9987999999999999,0.9954204855908286
308,0.999,0.9955776432383959
