dimension_range,prev_dimension,curr_dimension,prev_precision,curr_precision,abs_difference,rate_of_change
4-8,4,8,0.7791999999999999,0.8052,0.026000000000000134,0.0065000000000000335
8-12,8,12,0.8052,0.8272,0.02200000000000002,0.005500000000000005
16-20,16,20,0.8414,0.8574,0.016000000000000014,0.0040000000000000036
12-16,12,16,0.8272,0.8414,0.01419999999999999,0.0035499999999999976
20-24,20,24,0.8574,0.8682000000000001,0.010800000000000032,0.002700000000000008
24-28,24,28,0.8682000000000001,0.8784000000000001,0.010199999999999987,0.0025499999999999967
32-36,32,36,0.8860000000000001,0.8962000000000001,0.010199999999999987,0.0025499999999999967
40-44,40,44,0.9038000000000002,0.9134000000000001,0.009599999999999942,0.0023999999999999855
28-32,28,32,0.8784000000000001,0.8860000000000001,0.007600000000000051,0.0019000000000000128
36-40,36,40,0.8962000000000001,0.9038000000000002,0.007600000000000051,0.0019000000000000128
48-52,48,52,0.9174000000000001,0.9244000000000001,0.007000000000000006,0.0017500000000000016
56-60,56,60,0.9294000000000001,0.9352000000000001,0.005800000000000027,0.0014500000000000068
64-68,64,68,0.9388000000000001,0.9440000000000001,0.005199999999999982,0.0012999999999999956
52-56,52,56,0.9244000000000001,0.9294000000000001,0.0050000000000000044,0.0012500000000000011
80-84,80,84,0.9530000000000002,0.9578000000000001,0.0047999999999999154,0.0011999999999999789
68-72,68,72,0.9440000000000001,0.9486000000000001,0.0046000000000000485,0.0011500000000000121
44-48,44,48,0.9134000000000001,0.9174000000000001,0.0040000000000000036,0.0010000000000000009
84-88,84,88,0.9578000000000001,0.9614000000000001,0.0036000000000000476,0.0009000000000000119
60-64,60,64,0.9352000000000001,0.9388000000000001,0.0035999999999999366,0.0008999999999999841
72-76,72,76,0.9486000000000001,0.9520000000000001,0.0033999999999999586,0.0008499999999999897
100-104,100,104,0.9660000000000001,0.9692000000000001,0.0031999999999999806,0.0007999999999999952
156-160,156,160,0.9866000000000001,0.9894,0.0027999999999998026,0.0006999999999999507
120-124,120,124,0.9756000000000001,0.9782000000000001,0.0025999999999999357,0.0006499999999999839
136-140,136,140,0.9806,0.983,0.0023999999999999577,0.0005999999999999894
92-96,92,96,0.9618000000000002,0.964,0.0021999999999997577,0.0005499999999999394
