image_embedding,caption_embedding
[-0.20719561602697512],[-2.4995614342055372]
[1.5052426110610502],[-0.955595827825681]
[0.2801952786575723],[-1.940861940275186]
[-0.15248626840624177],[-1.745633130593592]
[2.7222064678155142],[1.4434824129205406]
[1.9943901052916395],[1.0902700438848025]
[-2.262174522534371],[1.8843440793275574]
[0.8846474673464434],[2.2906577714249776]
[-1.3556686620546556],[-2.3318174111972585]
[3.2019701286121536],[0.5094990438045979]
[0.5706258782549697],[-1.8064693775564327]
[-1.684832294865796],[-1.679984026606207]
[-1.0298294544941524],[-0.6353950534777043]
[-0.08971871193957293],[-2.0821593193385484]
[2.668747079674864],[1.187741821490107]
[0.13118760210451108],[2.619261054043514]
[-0.1447857298514378],[2.01468045088758]
[-2.6428594068378706],[-0.02914288174724758]
[3.2278264372155707],[1.3707985897825465]
[-0.24256439853988998],[-0.762987549314867]
[1.4494754979881763],[-0.6393034783482301]
[0.8323393397661928],[0.3333778983876311]
[-1.3973863483933457],[3.2208489982946333]
[0.19840741802671555],[0.5966192515131499]
[0.1416909082954601],[-1.2377415623495458]
[2.7094205616136415],[3.07854177786946]
[1.1932058396428404],[0.42667450160722514]
[2.360552582020006],[2.235194035731012]
[1.0951517136424886],[-4.285850838884582]
[3.3658310256003414],[2.659830533736575]
[-0.51215457161496],[-2.6537024320981693]
[1.8254734334929559],[-2.4593691754240017]
[-4.324473885326227],[2.7341547380495865]
[1.2264987104334508],[-3.8456827114407335]
[-3.546056487596106],[-3.9104691750619813]
[-1.9033912031460487],[-0.31648676950461385]
[-1.9825329188460667],[-0.3708532983540256]
[0.3536194126031835],[-1.8769643492475268]
[1.0851530166399643],[-0.8732119043277943]
[0.7836690689885988],[-2.862764847149823]
[0.05757039732691509],[-4.727119756275434]
[-1.9015109724116697],[-2.606339688813071]
[-4.5032739343148265],[1.5465556091014412]
[0.15172839602470145],[-3.8188305268072864]
[-0.680946234465513],[1.6694041208652768]
[0.14322023838726247],[3.665974405416339]
[-0.27015958761392556],[1.3379960592781364]
[1.9604234132146219],[4.00756213284059]
[0.40929174637257576],[0.21045622082442614]
[3.195074406024146],[0.9799768294457464]
[2.6131721241139934],[-2.0274067659650674]
[0.6641148847087672],[-2.9205576338087966]
[2.7020016130386213],[0.41166287844503846]
[1.8985149750794446],[2.147395231084867]
[1.6952320083913854],[-0.42441198233871863]
[-0.2154525121601486],[4.0778128791879364]
[-0.28377760661562823],[0.8684112643573948]
[1.0210097317313933],[1.0958998392808352]
[-2.8699616378371466],[-3.5487517380199156]
[-2.5655848001948223],[0.30451004363472467]
[0.5642398181986211],[-2.2788616414046907]
[-0.6162728829244468],[-2.6521228534332772]
[-0.3185667131805473],[1.3063195133140557]
[-0.33226551039974206],[0.03314416371544224]
[-0.9150682845763619],[-2.947478361796525]
[-0.3585545721373908],[-3.118191421174683]
[-0.8511701769332043],[0.5712309804365697]
[-1.5896280485878673],[-1.9176488334733042]
[0.09271270040618211],[1.202699798694311]
[-2.454262471788747],[-1.292655286002153]
[2.456102057613932],[2.3373092649456333]
[-4.458162744355145],[1.9400335155544446]
[-1.9962162126088498],[-2.380677962392679]
[0.17962424195722393],[0.4833771851603688]
[-1.947084405620781],[-2.702320847422289]
[1.2146837129350359],[-2.3989686382921436]
[1.7157914960799907],[-1.2848368894241873]
[1.3120248864005009],[3.7839821850174977]
[-2.6401877981543946],[-0.5604662926859306]
[3.0735891413113587],[2.0091378219122045]
[1.638596760808362],[-3.864214433726798]
[-0.04296441994618516],[-5.381752059738019]
[-4.630126836371577],[-0.7836402946038532]
[1.0710903550240374],[1.1873913900667934]
[-0.5354769786328136],[2.7616532609759883]
[0.21297755747839617],[4.120557381757272]
[1.6129016367754314],[-0.38973012055044803]
[-1.4565965583733647],[-4.107116151821839]
[-1.0338110473305198],[-0.20343319138462185]
[1.8681671188291085],[-0.11998793197564431]
[-0.03944131866547735],[3.168172066624361]
[-2.1745128594246683],[3.8387784254115647]
[-0.6989554208124032],[2.3749942671182778]
[-0.44238189408209555],[2.136739338309523]
[3.4821589556781443],[1.8030126879423394]
[-1.0365576901862363],[0.013443148680741958]
[0.8381675527568444],[-5.481890821429095]
[2.5024208145079982],[0.5535126152249811]
[2.2844588608506085],[0.2931567740979964]
[-3.366668929026432],[2.0635656027449065]
[-0.7677030619878326],[-2.781731210581366]
