reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.660625,0.7115625,0.7341666666666666
2,0.704375,0.740625,0.7627083333333333
4,0.7149999999999999,0.7550000000000001,0.7652083333333334
8,0.72625,0.7734375,0.77625
10,0.741875,0.778125,0.7845833333333333
16,0.755625,0.8009375000000002,0.8012499999999999
20,0.7656249999999999,0.8100000000000002,0.8122916666666666
30,0.798125,0.8303125,0.8391666666666666
32,0.80625,0.8350000000000002,0.8420833333333334
40,0.8306250000000001,0.8515625,0.8577083333333334
50,0.844375,0.8659375,0.8725000000000002
60,0.86,0.8862500000000001,0.8864583333333333
64,0.8625,0.8890625,0.8939583333333335
70,0.8631249999999999,0.8953125,0.8993750000000003
80,0.88125,0.9121875000000002,0.9116666666666667
90,0.890625,0.9178125000000001,0.9177083333333333
100,0.9006250000000001,0.9278124999999999,0.9262500000000001
110,0.9100000000000001,0.9325000000000001,0.9329166666666667
120,0.9168750000000001,0.9378125,0.9385416666666668
128,0.921875,0.9390625,0.9391666666666667
130,0.9237500000000001,0.9365625000000002,0.9408333333333333
140,0.9262499999999999,0.9443750000000002,0.9447916666666668
150,0.9256250000000001,0.9415625000000001,0.9458333333333334
160,0.929375,0.9440625,0.9479166666666667
170,0.93125,0.9462500000000003,0.9479166666666667
180,0.929375,0.945625,0.9483333333333335
190,0.9350000000000002,0.9453125000000002,0.9497916666666667
200,0.9356249999999999,0.9465625,0.9510416666666668
210,0.9349999999999999,0.945625,0.9510416666666668
220,0.9349999999999999,0.9465625000000001,0.9502083333333335
230,0.9337499999999999,0.9475,0.9504166666666668
240,0.9381249999999998,0.9475,0.95
250,0.93625,0.946875,0.9502083333333335
256,0.9368749999999999,0.945625,0.9506249999999999
260,0.936875,0.94625,0.9504166666666667
270,0.9368749999999999,0.9459375000000001,0.9506249999999999
280,0.9375,0.9453125,0.95
290,0.9356249999999999,0.9459375000000001,0.9495833333333333
300,0.934375,0.9443750000000002,0.95
310,0.934375,0.9440625,0.9495833333333333
320,0.9349999999999999,0.9443750000000002,0.9504166666666667
