reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.67375,0.72375,0.7366666666666667
2,0.7074999999999999,0.7484375,0.765
4,0.7206249999999998,0.7621875,0.7710416666666667
8,0.7387499999999999,0.7803125,0.7854166666666667
16,0.7674999999999998,0.8087500000000001,0.8150000000000001
20,0.7762499999999999,0.8150000000000001,0.8233333333333335
32,0.8087499999999999,0.8475000000000001,0.85625
40,0.8412499999999998,0.8640625,0.8683333333333334
50,0.8524999999999998,0.8815625,0.8833333333333335
64,0.8800000000000001,0.9037500000000002,0.9066666666666666
80,0.900625,0.9278125000000002,0.9270833333333334
100,0.93,0.9478125,0.9443750000000002
128,0.948125,0.9609375,0.96375
140,0.959375,0.9696875,0.9677083333333336
160,0.965625,0.976875,0.9770833333333334
180,0.968125,0.9825,0.9814583333333337
200,0.9825,0.9809375,0.986875
220,0.988125,0.985,0.9897916666666668
240,0.989375,0.990625,0.9902083333333334
256,0.99375,0.9925,0.99375
280,0.996875,0.995,0.9975000000000002
300,0.999375,0.9975,0.9989583333333334
320,1.0,1.0,1.0
