reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.67375,0.72375,0.7366666666666667
2,0.7074999999999999,0.7484375,0.765
4,0.7206249999999998,0.7625,0.7708333333333333
8,0.7387499999999999,0.78,0.7852083333333333
10,0.750625,0.7871875,0.7929166666666667
16,0.76875,0.8090624999999999,0.8147916666666667
20,0.7749999999999999,0.8165625000000002,0.8237500000000001
30,0.804375,0.8378125000000001,0.8483333333333334
32,0.8112499999999999,0.840625,0.8537500000000001
40,0.8381249999999998,0.8600000000000001,0.8706250000000001
50,0.8649999999999999,0.884375,0.8845833333333335
60,0.8768750000000001,0.8965625000000002,0.9014583333333335
64,0.8856249999999999,0.903125,0.9091666666666669
70,0.8868749999999999,0.9103125000000001,0.9162500000000001
80,0.8993749999999998,0.9287500000000002,0.9252083333333335
90,0.909375,0.9353125,0.9364583333333334
100,0.9243750000000001,0.9478125000000001,0.943125
110,0.9368749999999999,0.953125,0.953125
120,0.945,0.9609375,0.9610416666666669
128,0.9481249999999999,0.9634374999999998,0.9637499999999999
130,0.951875,0.9625,0.9635416666666667
140,0.9556250000000001,0.9668750000000002,0.9691666666666666
150,0.9637499999999999,0.971875,0.9720833333333335
160,0.9650000000000001,0.9734375,0.976875
170,0.965625,0.9793750000000001,0.9802083333333333
180,0.971875,0.9809375000000001,0.979791666666667
190,0.97625,0.9796875,0.9835416666666668
200,0.983125,0.9796875,0.9845833333333335
210,0.984375,0.9834375000000002,0.9866666666666667
220,0.9881250000000001,0.9859375,0.9897916666666667
230,0.9875,0.9871874999999999,0.9902083333333336
240,0.9925,0.9899999999999999,0.9910416666666666
250,0.9949999999999999,0.9912500000000002,0.9929166666666667
256,0.99375,0.9925,0.99375
260,0.99375,0.9934375,0.9941666666666666
270,0.9962499999999999,0.9928125,0.9954166666666666
280,0.996875,0.9949999999999999,0.9975000000000002
290,0.99875,0.9953125,0.9979166666666668
300,0.999375,0.9974999999999999,0.9989583333333334
310,1.0,0.9984375,0.999375
320,1.0,1.0,1.0
