dimension_range,prev_dimension,curr_dimension,prev_precision,curr_precision,abs_difference,rate_of_change,mid_dimension
4-8,4,8,0.7621875,0.78,0.01781250000000001,0.004453125000000002,6.0
8-12,8,12,0.78,0.7946875,0.014687499999999964,0.003671874999999991,10.0
12-16,12,16,0.7946875,0.8084374999999999,0.013749999999999929,0.0034374999999999822,14.0
32-36,32,36,0.845,0.8574999999999999,0.012499999999999956,0.003124999999999989,34.0
24-28,24,28,0.8253125000000001,0.8365625000000001,0.011249999999999982,0.0028124999999999956,26.0
20-24,20,24,0.8143750000000001,0.8253125000000001,0.010937500000000044,0.002734375000000011,22.0
48-52,48,52,0.8740625000000002,0.8850000000000001,0.010937499999999933,0.0027343749999999833,50.0
36-40,36,40,0.8574999999999999,0.8662500000000002,0.008750000000000258,0.0021875000000000644,38.0
28-32,28,32,0.8365625000000001,0.845,0.008437499999999876,0.002109374999999969,30.0
40-44,40,44,0.8662500000000002,0.8746875000000001,0.008437499999999876,0.002109374999999969,42.0
68-72,68,72,0.9106250000000001,0.9178125000000001,0.007187500000000013,0.0017968750000000033,70.0
60-64,60,64,0.8975000000000002,0.9046875,0.007187499999999791,0.0017968749999999478,62.0
56-60,56,60,0.8906250000000002,0.8975000000000002,0.0068749999999999645,0.0017187499999999911,58.0
116-120,116,120,0.9553125000000001,0.961875,0.006562499999999916,0.001640624999999979,118.0
80-84,80,84,0.9265625,0.9328125,0.006250000000000089,0.0015625000000000222,82.0
16-20,16,20,0.8084374999999999,0.8143750000000001,0.005937500000000151,0.0014843750000000377,18.0
64-68,64,68,0.9046875,0.9106250000000001,0.005937500000000151,0.0014843750000000377,66.0
96-100,96,100,0.9409375000000001,0.946875,0.005937499999999929,0.0014843749999999822,98.0
52-56,52,56,0.8850000000000001,0.8906250000000002,0.005625000000000102,0.0014062500000000255,54.0
72-76,72,76,0.9178125000000001,0.9234375,0.00562499999999988,0.00140624999999997,74.0
108-112,108,112,0.9496874999999999,0.954375,0.004687500000000067,0.0011718750000000167,110.0
152-156,152,156,0.9731249999999999,0.976875,0.003750000000000142,0.0009375000000000355,154.0
164-168,164,168,0.9740624999999999,0.9775,0.0034375000000000933,0.0008593750000000233,166.0
84-88,84,88,0.9328125,0.93625,0.0034374999999999822,0.0008593749999999956,86.0
76-80,76,80,0.9234375,0.9265625,0.0031249999999999334,0.0007812499999999833,78.0
104-108,104,108,0.9465625000000001,0.9496874999999999,0.0031249999999998224,0.0007812499999999556,106.0
168-172,168,172,0.9775,0.9803125000000001,0.0028125000000001066,0.0007031250000000266,170.0
88-92,88,92,0.93625,0.9387500000000001,0.0025000000000000577,0.0006250000000000144,90.0
136-140,136,140,0.9671875,0.9696875,0.0025000000000000577,0.0006250000000000144,138.0
132-136,132,136,0.9649999999999999,0.9671875,0.00218750000000012,0.00054687500000003,134.0
92-96,92,96,0.9387500000000001,0.9409375000000001,0.002187500000000009,0.0005468750000000022,94.0
232-236,232,236,0.9871875000000001,0.9893750000000001,0.002187500000000009,0.0005468750000000022,234.0
148-152,148,152,0.9709375000000001,0.9731249999999999,0.002187499999999787,0.0005468749999999467,150.0
124-128,124,128,0.9621875,0.9640625,0.001875000000000071,0.00046875000000001776,126.0
212-216,212,216,0.983125,0.9850000000000001,0.001875000000000071,0.00046875000000001776,214.0
224-228,224,228,0.9846875,0.9865625,0.00187499999999996,0.00046874999999999,226.0
296-300,296,300,0.9959374999999999,0.9974999999999999,0.0015625000000000222,0.00039062500000000555,298.0
184-188,184,188,0.9793749999999999,0.9806250000000002,0.0012500000000003064,0.0003125000000000766,186.0
252-256,252,256,0.99125,0.9925,0.0012500000000000844,0.0003125000000000211,254.0
180-184,180,184,0.978125,0.9793749999999999,0.0012499999999998623,0.0003124999999999656,182.0
244-248,244,248,0.9903124999999999,0.9912500000000002,0.0009375000000002576,0.0002343750000000644,246.0
308-312,308,312,0.9981249999999999,0.9990625000000002,0.0009375000000002576,0.0002343750000000644,310.0
112-116,112,116,0.954375,0.9553125000000001,0.0009375000000001465,0.00023437500000003664,114.0
272-276,272,276,0.9934375,0.9943750000000001,0.0009375000000001465,0.00023437500000003664,274.0
284-288,284,288,0.9949999999999999,0.9959374999999999,0.0009375000000000355,0.00023437500000000888,286.0
256-260,256,260,0.9925,0.9934375,0.0009374999999999245,0.00023437499999998113,258.0
128-132,128,132,0.9640625,0.9649999999999999,0.0009374999999998135,0.00023437499999995337,130.0
144-148,144,148,0.9703125,0.9709375000000001,0.0006250000000000977,0.00015625000000002442,146.0
228-232,228,232,0.9865625,0.9871875000000001,0.0006250000000000977,0.00015625000000002442,230.0
140-144,140,144,0.9696875,0.9703125,0.0006249999999999867,0.00015624999999999667,142.0
192-196,192,196,0.98125,0.9818749999999999,0.0006249999999999867,0.00015624999999999667,194.0
304-308,304,308,0.9974999999999999,0.9981249999999999,0.0006249999999999867,0.00015624999999999667,306.0
292-296,292,296,0.9953125,0.9959374999999999,0.0006249999999998757,0.00015624999999996891,294.0
188-192,188,192,0.9806250000000002,0.98125,0.0006249999999997646,0.00015624999999994116,190.0
204-208,204,208,0.9821875000000002,0.9828125,0.0006249999999997646,0.00015624999999994116,206.0
240-244,240,244,0.9896875000000002,0.9903124999999999,0.0006249999999997646,0.00015624999999994116,242.0
264-268,264,268,0.9925,0.9931249999999998,0.0006249999999997646,0.00015624999999994116,266.0
276-280,276,280,0.9943750000000001,0.9949999999999999,0.0006249999999997646,0.00015624999999994116,278.0
312-316,312,316,0.9990625000000002,0.9996875,0.0006249999999997646,0.00015624999999994116,314.0
200-204,200,204,0.9818749999999999,0.9821875000000002,0.0003125000000002709,7.812500000006772e-05,202.0
268-272,268,272,0.9931249999999998,0.9934375,0.00031250000000015987,7.812500000003997e-05,270.0
208-212,208,212,0.9828125,0.983125,0.00031250000000004885,7.812500000001221e-05,210.0
236-240,236,240,0.9893750000000001,0.9896875000000002,0.00031250000000004885,7.812500000001221e-05,238.0
316-320,316,320,0.9996875,1.0,0.00031250000000004885,7.812500000001221e-05,318.0
120-124,120,124,0.961875,0.9621875,0.00031249999999993783,7.812499999998446e-05,122.0
160-164,160,164,0.9737500000000001,0.9740624999999999,0.0003124999999998268,7.81249999999567e-05,162.0
196-200,196,200,0.9818749999999999,0.9818749999999999,0.0,0.0,198.0
280-284,280,284,0.9949999999999999,0.9949999999999999,0.0,0.0,282.0
300-304,300,304,0.9974999999999999,0.9974999999999999,0.0,0.0,302.0
216-220,216,220,0.9850000000000001,0.985,-1.1102230246251565e-16,-2.7755575615628914e-17,218.0
248-252,248,252,0.9912500000000002,0.99125,-2.220446049250313e-16,-5.551115123125783e-17,250.0
100-104,100,104,0.946875,0.9465625000000001,-0.00031249999999993783,-7.812499999998446e-05,102.0
220-224,220,224,0.985,0.9846875,-0.00031249999999993783,-7.812499999998446e-05,222.0
44-48,44,48,0.8746875000000001,0.8740625000000002,-0.0006249999999998757,-0.00015624999999996891,46.0
288-292,288,292,0.9959374999999999,0.9953125,-0.0006249999999998757,-0.00015624999999996891,290.0
172-176,172,176,0.9803125000000001,0.9796875,-0.0006250000000000977,-0.00015625000000002442,174.0
260-264,260,264,0.9934375,0.9925,-0.0009374999999999245,-0.00023437499999998113,262.0
176-180,176,180,0.9796875,0.978125,-0.0015625000000000222,-0.00039062500000000555,178.0
156-160,156,160,0.976875,0.9737500000000001,-0.0031249999999999334,-0.0007812499999999833,158.0
